EAR
年龄	钙	磷	钾	钠	镁	氯	铁	碘	锌	硒	铜	氟	铬	锰	钼	维生素A	维生素D	维生素E	维生素K	维生素B1	维生素B2	烟酸	烟酰胺	维生素B6	叶酸	维生素B12	泛酸	生物素	胆碱	维生素C
4岁~	500	290	0	0	130	0	7	65	4.6	25	0.3	0	0	0	10	280	8	0	0	0.7	0.7	6	0	0.6	160	1	0	0	0	40
7岁~	650	370	0	0	170	0	9	65	5.9	30	0.38	0	0	0	12	300	8	0	0	0.8	0.8	7	0	0.7	200	1.2	0	0	0	50
9岁~	800	460	0	0	210	0	12	65	5.9	40	0.47	0	0	0	15	400	8	0	0	0.9	0.9	9	0	0.8	240	1.5	0	0	0	65
12岁~	850	580	0	0	260	0	12	80	7	50	0.56	0	0	0	20	560	8	0	0	1.2	1.2	11	0	1.1	310	1.7	0	0	0	80
15岁~	800	600	0	0	270	0	12	85	9.7	50	0.59	0	0	0	20	580	8	0	0	1.4	1.3	13	0	1.2	320	2.1	0	0	0	85
18岁~	650	600	0	0	270	0	9	85	10.1	50	0.62	0	0	0	20	550	8	0	0	1.2	1.2	12	0	1.2	320	2	0	0	0	85
30岁~	650	590	0	0	270	0	9	85	10.1	50	0.6	0	0	0	20	550	8	0	0	1.2	1.2	12	0	1.2	320	2	0	0	0	85
50岁~	650	590	0	0	270	0	9	85	10.1	50	0.6	0	0	0	20	540	8	0	0	1.2	1.2	12	0	1.3	320	2	0	0	0	85
65岁~	650	570	0	0	260	0	9	85	10.1	50	0.58	0	0	0	20	520	8	0	0	1.2	1.2	12	0	1.3	320	2	0	0	0	85
75岁~	650	570	0	0	250	0	9	85	10.1	50	0.57	0	0	0	20	500	8	0	0	1.2	1.2	12	0	1.3	320	2	0	0	0	85
101岁~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4岁~	500	290	0	0	130	0	7	65	4.6	25	0.3	0	0	0	10	270	8	0	0	0.7	0.6	5	0	0.6	160	1	0	0	0	40
7岁~	650	370	0	0	170	0	9	65	5.9	30	0.38	0	0	0	12	280	8	0	0	0.7	0.7	6	0	0.7	200	1.2	0	0	0	50
9岁~	800	460	0	0	210	0	12	65	5.9	40	0.47	0	0	0	15	380	8	0	0	0.8	0.8	8	0	0.8	240	1.5	0	0	0	65
